"Actual","Forecast","Error","R2_02","RMSE_02","MAE_02","NRMSE_02"
0.32,0.271164934539476,0.0488350654605245,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.69,0.457747432904306,0.232252567095694,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.8,0.934002461703829,-0.134002461703828,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.15,1.11826828937861,0.0317317106213877,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.79,1.16065484489666,-0.37065484489666,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.75,1.23319737978676,-0.483197379786761,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.56,1.21797313110024,-0.657973131100243,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.38,0.817308537518483,-0.437308537518483,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.21,0.409503945916749,-0.199503945916749,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.01,0.124082229364682,-0.114082229364682,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.01,0.123240111750922,-0.113240111750922,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.42,1.12591262228282,-0.705912622282818,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.03,0.709728405997937,0.320271594002063,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.55,1.09675751671058,0.453242483289423,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.84,1.10799451885357,0.732005481146428,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.99,1.22521635502384,0.764783644976164,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.93,1.1565013263832,0.773498673616796,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.58,1.19913252534262,0.380867474657383,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.09,0.992140813454485,0.0978591865455147,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.4,0.531922832103228,-0.131922832103228,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.02,0.06587591092474,-0.04587591092474,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.01,0.0843494135520553,-0.0743494135520553,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.42,1.37885618617929,-0.95885618617929,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.08,0.708993732347982,0.371006267652018,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.53,1.11727865391627,0.412721346083727,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.87,1.04863391460212,0.821366085397883,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
2.03,1.3286585159632,0.701341484036797,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.94,1.10131070188492,0.838689298115079,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.6,0.945757140970001,0.654242859029999,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.08,0.742304173520361,0.337695826479639,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.4,0.302525012854927,0.0974749871450727,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.01,0.142556487814312,-0.132556487814312,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.01,0.0544774358694423,-0.0444774358694423,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.36,0.427218106258309,-0.0672181062583091,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.94,0.623676887810356,0.316323112189644,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.37,0.999879885055227,0.370120114944773,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.6,1.28407934997007,-0.684079349970075,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.73,1.57352482310132,-0.84352482310132,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.15,1.45442767630292,-0.304427676302917,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.8,1.36068766267556,-0.560687662675555,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.54,0.967766403893495,-0.427766403893495,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.18,0.38704261099586,-0.20704261099586,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0,0.194433477062954,-0.194433477062954,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0,0.0238522149756131,-0.0238522149756131,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.27,0.538454282388863,-0.268454282388863,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.81,0.638790297593032,0.171209702406968,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.36,1.01768856304914,0.342311436950857,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.73,0.991024383009502,0.738975616990498,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.25,1.12600923174107,0.12399076825893,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.88,1.32183424274956,0.558165757250439,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.67,1.20180438384268,0.468195616157322,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.06,0.975616570144507,0.0843834298554934,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.44,0.359227991356628,0.080772008643372,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.01,0.18864353047467,-0.17864353047467,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0,0.0288305938283326,-0.0288305938283326,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.22,0.897229662960708,-0.677229662960708,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.74,0.576079797573476,0.163920202426524,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.36,0.857189253158495,0.502810746841505,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.87,1.10796514004564,0.762034859954357,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
2.02,1.20369904610701,0.816300953892991,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.91,1.2848085277795,0.625191472220499,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.59,1.35853933047001,0.231460669529985,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.07,0.87110174211793,0.19889825788207,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.42,0.307849953027199,0.112150046972801,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.02,0.248833366354734,-0.228833366354734,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0,0.0387922459199802,-0.0387922459199802,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.26,0.651858151338121,-0.391858151338121,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
0.81,0.763010380635229,0.0469896193647706,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
1.33,0.950908817520421,0.379091182479579,0.559063250294285,0.692793861879804,0.514816835592525,49.7428313286184
