"Actual","Forecast","Error","R2_24","RMSE_24","MAE_24","NRMSE_24"
190,89.8636532738095,100.13634672619,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
156,187.823177083333,-31.8231770833333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
108,181.149609375,-73.149609375,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
71,123.169401041667,-52.1694010416667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
49,100.9296875,-51.9296875,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
47,77.20703125,-30.20703125,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
65,74.1200520833333,-9.12005208333332,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
135,84.0227864583333,50.9772135416667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
401,214.281901041667,186.718098958333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
617,634.040755208333,-17.0407552083333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
343,216.536328125,126.463671875,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
274,214.9328125,59.0671875,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
343,232.168619791667,110.831380208333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
388,287.9765625,100.0234375,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
375,292.82421875,82.1757812500001,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
450,320.148958333333,129.851041666667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
463,403.438151041667,59.5618489583334,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
574,451.7046875,122.2953125,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
631,453.959765625,177.040234375,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
854,446.522916666667,407.477083333333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
568,338.614453125,229.385546875,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
427,272.592838541667,154.407161458333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
396,255.588802083333,140.411197916667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
414,262.391145833333,151.608854166667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
284,237.360677083333,46.6393229166667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
218,168.301953125,49.698046875,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
