"Actual","Forecast","Error","R2_07","RMSE_07","MAE_07","NRMSE_07"
33,30.270703125,2.729296875,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
61,55.794921875,5.20507812500003,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
148,177.171875,-29.171875,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
160,175.563541666667,-15.5635416666667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
191,183.866666666667,7.13333333333335,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
239,189.929557291667,49.0704427083333,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
311,195.651432291667,115.348567708333,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
358,222.033203125,135.966796875,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
375,167.300260416667,207.699739583333,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
458,205.724348958333,252.275651041667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
460,190.909393601191,269.090606398809,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
423,195.765755208333,227.234244791667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
317,210.20546875,106.79453125,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
231,210.602213541667,20.3977864583334,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
246,142.992447916667,103.007552083333,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
212,130.207552083333,81.7924479166667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
190,111.373046875,78.626953125,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
190,92.2338541666666,97.7661458333334,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
156,188.887890625,-32.8878906250001,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
108,197.264322916667,-89.2643229166667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
71,118.771744791667,-47.7717447916667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
49,94.4458333333333,-45.4458333333333,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
47,69.1846726190476,-22.1846726190476,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
65,77.530859375,-12.530859375,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
135,108.342317708333,26.6576822916667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
401,220.296223958333,180.703776041667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
617,595.273567708333,21.7264322916668,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
343,242.525651041667,100.474348958333,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
274,278.326160037879,-4.32616003787888,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
343,297.608333333333,45.3916666666665,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
388,345.429427083333,42.5705729166667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
375,342.116276041667,32.8837239583333,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
450,346.159895833333,103.840104166667,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
463,387.790625,75.209375,0.728415701208069,349.190251403658,240.40372055792,40.5033525195997
