"Actual","Forecast","Error","R2_24","RMSE_24","MAE_24","NRMSE_24"
0,0.0454152575718381,-0.0454152575718381,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.17,0.303823511351362,-0.133823511351362,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.69,0.826116336726158,-0.136116336726158,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.25,1.13778556842594,0.112214431574056,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.41,1.60709241482096,-0.197092414820963,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.42,1.66247432546209,-0.242474325462092,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.08,1.62223834740034,-0.542238347400336,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.66,1.53710502816366,-0.877105028163658,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.87,1.03068196521729,-0.160681965217286,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.28,0.632780927730214,-0.352780927730214,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.01,0.0607920623589094,-0.0507920623589094,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0,0.0342434195392973,-0.0342434195392973,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.26,0.438874317319159,-0.178874317319159,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.88,0.962129414914157,-0.0821294149141575,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.36,1.38859182715601,-0.0285918271560082,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.69,1.48617845924138,0.203821540758623,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.81,1.58568053488987,0.224319465110129,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.73,1.51491447216167,0.215085527838331,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.43,1.38958179566478,0.0404182043352204,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.94,1.09341277710321,-0.153412777103206,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.37,0.541329308849715,-0.171329308849715,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
